patients,complaints,residency,gender,rate,hours
2782,6,N,M,224.91,1609.25
1502,3,Y,M,269,906.25
2008,2,N,M,240.22,1387.25
3060,2,Y,M,270.52,1858.25
2046,1,Y,M,289.56,1029.75
2548,2,Y,M,305.67,1127
2138,2,N,M,217.49,1312
1486,1,Y,F,277.78,933.75
1451,3,Y,F,229.43,973.75
3010,2,Y,M,326.49,1520
2123,5,N,F,238.65,1506.25
2431,7,N,M,257.3,1433
2211,1,N,F,250.01,1548
2927,8,N,M,293.47,1668.25
2302,1,N,M,247.31,1486.25
2592,1,N,M,252.35,1547.25
2178,2,N,M,237.31,1518
2438,2,N,F,225.61,1787.75
2504,1,Y,F,218.7,1793.75
2741,1,Y,F,276.86,1499.25
879,1,Y,M,206.42,705.25
2234,5,Y,M,290.53,1404.75
2278,2,N,M,212.43,1480.5
2338,6,Y,M,251.54,1446
2556,5,N,M,250.31,1551.5
1780,1,N,M,226.32,1005.5
1661,0,N,M,260.92,877.25
1863,1,Y,M,259.68,1168.25
1864,2,Y,M,295.71,967
3022,7,N,M,241.04,1917.25
2269,2,N,F,213.23,1847.25
3071,9,N,F,249.32,1747.75
2690,1,N,M,275.94,1517.75
1029,1,Y,F,287.76,589
3646,11,N,M,288.91,1667.25
3003,3,Y,F,280.52,1552.75
2458,5,N,M,211.05,1733.5
3091,3,N,M,334.94,1588
2014,2,Y,F,263.03,1287.25
2701,8,N,M,275.4,1652.75
2043,2,Y,M,231.61,1220
3328,3,Y,M,313.48,1638.25
3763,10,Y,M,308.84,1747.5
2906,4,N,M,268.73,1608.5
